sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,indian,1,2,20-24,0.0004
1990,female,indian,1,1,25-29,0.0004
1990,female,indian,1,2,25-29,0.0004
1990,female,indian,1,1,30-34,0.0006
1990,female,indian,1,2,30-34,0.0006
1990,female,indian,1,1,35-39,0.001
1990,female,indian,1,2,35-39,0.001
1990,female,indian,1,1,40-44,0.0013991309745499689
1990,female,indian,1,2,40-44,0.0013991309745499689
1990,female,indian,1,3.1,40-44,0.0016789571694599624
1990,female,indian,1,1,45-49,0.0024
1990,female,indian,1,2,45-49,0.0024
1990,female,indian,1,1,5-9,0.0001
1990,female,indian,1,2,5-9,0.0001
1990,female,indian,1,1,50-54,0.0042
1990,female,indian,1,2,50-54,0.0042
1990,female,indian,1,1,55-59,0.007390013495276656
1990,female,indian,1,2,55-59,0.007390013495276656
1990,female,indian,1,3.1,55-59,0.008868016194331986
1990,female,indian,1,1,60-64,0.0109
1990,female,indian,1,2,60-64,0.0109
1990,female,indian,1,1,65-69,0.018546242774566474
1990,female,indian,1,2,65-69,0.018546242774566474
1990,female,indian,1,3.1,65-69,0.02225549132947977
1990,female,indian,1,1,70-74,0.03113172043010753
1990,female,indian,1,2,70-74,0.03113172043010753
1990,female,indian,1,3.1,70-74,0.03735806451612904
1990,female,indian,1,1,75-79,0.0477999999999999
1990,female,indian,1,2,75-79,0.0477999999999999
1990,female,indian,1,1,80-84,0.0785999999999999
1990,female,indian,1,1,85+,0.1294
1990,female,indian,1,2,85+,0.1294
1990,female,indian,2,1,0,0.0062
1990,female,indian,2,2,0,0.0062
1990,female,indian,2,1,1-4,0.0002
1990,female,indian,2,2,1-4,0.0002
1990,female,indian,2,1,10-14,0.0002
1990,female,indian,2,2,10-14,0.0002
1990,female,indian,2,1,15-19,0.0002
1990,female,indian,2,2,15-19,0.0002
1990,female,indian,2,1,20-24,0.0004
1990,female,indian,2,2,20-24,0.0004
1990,female,indian,2,1,25-29,0.0004
1990,female,indian,2,2,25-29,0.0004
1990,female,indian,2,1,30-34,0.0006
1990,female,indian,2,2,30-34,0.0006
1990,female,indian,2,1,35-39,0.001
