stage,ethnicity,age_group,year,prevalence,lower,upper
K5,overall,18-30,1996,0.0,0.0,0.0
K1,overall,31-40,1996,2.7,1.7,3.69
K2,overall,31-40,1996,0.35,0.28,0.43
K3a,overall,31-40,1996,0.08,0.08,0.07
K3b,overall,31-40,1996,0.0,0.0,0.01
K4,overall,31-40,1996,0.0,0.0,0.0
K5,overall,31-40,1996,0.0,0.0,0.0
K1,overall,41-50,1996,3.99,2.39,5.59
K2,overall,41-50,1996,0.84,0.61,1.08
K3a,overall,41-50,1996,0.25,0.22,0.27
K3b,overall,41-50,1996,0.04,0.04,0.04
K4,overall,41-50,1996,0.01,0.0,0.01
K5,overall,41-50,1996,0.0,0.0,0.0
K1,overall,51-60,1996,5.55,3.67,7.43
K2,overall,51-60,1996,2.48,2.08,2.88
K3a,overall,51-60,1996,0.97,0.89,1.05
K3b,overall,51-60,1996,0.35,0.28,0.43
K4,overall,51-60,1996,0.09,0.04,0.14
K5,overall,51-60,1996,0.02,0.0,0.04
K1,overall,61-70,1996,9.25,7.5,11.0
K2,overall,61-70,1996,7.46,6.61,8.3
K3a,overall,61-70,1996,3.45,3.28,3.62
K3b,overall,61-70,1996,2.03,1.76,2.3
K4,overall,61-70,1996,0.58,0.34,0.82
K5,overall,61-70,1996,0.27,0.08,0.45
K1,overall,71-80,1996,10.2,8.49,11.92
K2,overall,71-80,1996,13.33,12.11,14.55
K3a,overall,71-80,1996,6.71,6.65,6.76
K3b,overall,71-80,1996,5.85,5.64,6.06
K4,overall,71-80,1996,1.77,1.4,2.15
K5,overall,71-80,1996,0.9,0.57,1.23
K1,overall,80+,1996,13.0,10.25,15.75
K2,overall,80+,1996,16.49,14.96,18.03
K3a,overall,80+,1996,7.06,6.81,7.31
K3b,overall,80+,1996,7.86,7.68,8.03
K4,overall,80+,1996,2.23,1.75,2.71
K5,overall,80+,1996,1.02,0.88,1.17
K1,overall,Overall,1997,3.72,2.54,4.89
K2,overall,Overall,1997,1.79,1.55,2.03
K3a,overall,Overall,1997,0.77,0.74,0.8
K3b,overall,Overall,1997,0.5,0.47,0.54
K4,overall,Overall,1997,0.13,0.1,0.16
K5,overall,Overall,1997,0.08,0.04,0.11
K1,chn,Overall,1997,2.96,1.96,3.95
K2,chn,Overall,1997,1.82,1.54,2.11
K3a,chn,Overall,1997,0.87,0.84,0.9
K3b,chn,Overall,1997,0.52,0.49,0.56
K4,chn,Overall,1997,0.14,0.1,0.18
K5,chn,Overall,1997,0.07,0.04,0.1
K1,mal,Overall,1997,4.37,3.07,5.67
K2,mal,Overall,1997,1.55,1.41,1.69
K3a,mal,Overall,1997,0.6,0.59,0.62
K3b,mal,Overall,1997,0.49,0.45,0.52
K4,mal,Overall,1997,0.11,0.08,0.13
K5,mal,Overall,1997,0.06,0.03,0.08
K1,ind,Overall,1997,3.6,2.38,4.82
K2,ind,Overall,1997,2.97,2.41,3.54
K3a,ind,Overall,1997,1.33,1.27,1.4
K3b,ind,Overall,1997,0.64,0.6,0.67
K4,ind,Overall,1997,0.24,0.17,0.3
K5,ind,Overall,1997,0.2,0.11,0.29
K1,overall,18-30,1997,1.19,0.73,1.64
K2,overall,18-30,1997,0.1,0.06,0.13
K3a,overall,18-30,1997,0.03,0.03,0.03
K3b,overall,18-30,1997,0.0,0.0,0.0
K4,overall,18-30,1997,0.0,0.0,0.0
K5,overall,18-30,1997,0.0,0.0,0.0
K1,overall,31-40,1997,2.71,1.71,3.7
K2,overall,31-40,1997,0.36,0.28,0.44
K3a,overall,31-40,1997,0.08,0.08,0.07
K3b,overall,31-40,1997,0.0,0.0,0.0
K4,overall,31-40,1997,0.0,0.0,0.0
K5,overall,31-40,1997,0.0,0.0,0.0
K1,overall,41-50,1997,3.91,2.36,5.47
K2,overall,41-50,1997,0.85,0.62,1.07
K3a,overall,41-50,1997,0.26,0.23,0.28
K3b,overall,41-50,1997,0.04,0.04,0.05
K4,overall,41-50,1997,0.01,0.0,0.01
K5,overall,41-50,1997,0.0,0.0,0.0
K1,overall,51-60,1997,5.6,3.67,7.54
K2,overall,51-60,1997,2.45,2.05,2.85
K3a,overall,51-60,1997,1.0,0.9,1.1
K3b,overall,51-60,1997,0.36,0.29,0.43
K4,overall,51-60,1997,0.09,0.05,0.14
K5,overall,51-60,1997,0.03,0.0,0.06
K1,overall,61-70,1997,9.26,7.41,11.11
K2,overall,61-70,1997,7.51,6.65,8.37
K3a,overall,61-70,1997,3.52,3.38,3.67
K3b,overall,61-70,1997,2.08,1.8,2.37
K4,overall,61-70,1997,0.52,0.32,0.71
K5,overall,61-70,1997,0.33,0.12,0.54
K1,overall,71-80,1997,10.0,8.38,11.63
K2,overall,71-80,1997,13.37,12.22,14.51
K3a,overall,71-80,1997,6.78,6.66,6.9
K3b,overall,71-80,1997,5.94,5.69,6.18
K4,overall,71-80,1997,1.59,1.28,1.89
K5,overall,71-80,1997,0.98,0.61,1.34
K1,overall,80+,1997,12.44,9.56,15.31
K2,overall,80+,1997,16.39,14.68,18.1
K3a,overall,80+,1997,7.01,6.68,7.34
K3b,overall,80+,1997,7.99,7.84,8.15
K4,overall,80+,1997,2.13,1.74,2.52
K5,overall,80+,1997,1.22,1.04,1.41
K1,overall,Overall,1998,3.72,2.54,4.89
K2,overall,Overall,1998,1.82,1.58,2.06
K3a,overall,Overall,1998,0.79,0.76,0.83
K3b,overall,Overall,1998,0.51,0.47,0.55
K4,overall,Overall,1998,0.12,0.09,0.15
K5,overall,Overall,1998,0.09,0.04,0.13
K1,chn,Overall,1998,2.95,1.96,3.94
K2,chn,Overall,1998,1.86,1.56,2.16
K3a,chn,Overall,1998,0.9,0.87,0.94
K3b,chn,Overall,1998,0.54,0.5,0.58
K4,chn,Overall,1998,0.13,0.1,0.17
K5,chn,Overall,1998,0.08,0.04,0.11
K1,mal,Overall,1998,4.37,3.07,5.68
K2,mal,Overall,1998,1.58,1.44,1.71
K3a,mal,Overall,1998,0.61,0.58,0.64
K3b,mal,Overall,1998,0.49,0.46,0.52
K4,mal,Overall,1998,0.1,0.08,0.12
K5,mal,Overall,1998,0.06,0.03,0.1
K1,ind,Overall,1998,3.58,2.38,4.79
K2,ind,Overall,1998,3.02,2.43,3.61
